study_id,wrd_cnt_phys,wrd_cnt_prox,uttr_cnt_phys,uttr_cnt_prox,nlm_spec_cnt,voa_cnt,nlm_minus_voa_cnt,fk_score,gf_score,mean_wrds_uttr_phys,median_wrds_uttr_phys,mean_wrds_uttr_prox,median_wrds_uttr_prox,pattern_sent,wwbp_to_past,wwbp_to_present,wwbp_to_future,pron_i_cnt,pron_my_cnt,pron_you_cnt,pron_your_cnt,pron_she_cnt,pron_her_cnt,pron_hers_cnt,pron_he_cnt,pron_his_cnt,phys_verb_cnt,phys_noun_cnt,phys_adjective_cnt,phys_adverb_cnt
80,2416,571,48,49,1711,1232,479,0.8900346474388989,3.724755751162718,50.333333333333336,19.5,11.653061224489797,6.0,0.2632399987719137,-0.6329328237559141,0.2202601995867747,-0.5722379395595899,27,2,80,6,0,0,0,43,22,473,349,134,141
81,1900,756,56,57,1459,1034,425,3.8096464580141554,7.033932054181562,33.92857142857143,17.5,13.263157894736842,4.0,0.228381572695597,-0.6469801069059821,0.23117433780102312,-0.5668613974916425,27,1,31,1,0,0,0,56,27,370,305,123,139
82,1996,280,31,32,1407,984,425,0.8985810433313848,3.6896909850797983,64.38709677419355,25.0,8.75,7.0,0.10897195091409964,-0.6356335729692136,0.21707848464797405,-0.5661308014288651,45,4,56,4,0,0,0,31,21,378,287,93,130
83,1569,284,24,21,1165,827,342,1.9222205829174808,4.733828017646633,65.375,35.5,13.523809523809524,11.0,0.014093892339544513,-0.6329181788103706,0.21159386593482823,-0.5630624607881111,28,1,25,1,0,0,0,49,21,305,241,109,116
84,2098,580,54,54,1601,1143,461,1.7294372477003535,4.562505239009111,38.851851851851855,15.0,10.74074074074074,4.5,0.19037220309810668,-0.6407541489794546,0.2256600471961728,-0.5685484743483544,37,0,34,9,0,0,0,31,22,406,319,141,118
85,3121,228,31,31,2277,1599,679,1.6509015040605508,4.6501671178387936,100.6774193548387,23.0,7.354838709677419,4.0,0.2026298059964728,-0.6406729850902017,0.22066302300922677,-0.5671894750193193,59,2,51,2,0,0,0,48,35,578,448,213,209
86,2425,390,45,39,1845,1247,598,2.408096392059285,5.547260958150773,53.888888888888886,15.0,10.0,5.0,0.09154427295731643,-0.6365139561599715,0.21655446576523638,-0.5661397452232335,42,1,42,5,2,0,0,54,40,474,404,135,110
87,1948,368,42,42,1402,1024,379,1.7043863152136023,4.449657095503115,46.38095238095238,20.5,8.761904761904763,4.0,0.06671583284985345,-0.6363176718484763,0.21908924262510934,-0.5655268205941275,27,0,57,4,0,0,0,50,26,325,320,109,95
88,2018,941,61,62,1495,1076,420,1.5102871683024368,4.632642675390767,33.08196721311475,15.0,15.17741935483871,7.0,0.17337880291005298,-0.6368107787438118,0.21770787052233442,-0.5658925577576602,32,5,44,6,0,0,0,64,18,356,293,124,142
89,1718,386,37,37,1205,834,373,1.05479709396535,3.9191628530897393,46.432432432432435,19.0,10.432432432432432,8.0,0.17108645727794666,-0.6363466326775726,0.22699489714271134,-0.5758858954380185,39,1,48,9,0,0,0,26,19,322,242,96,107
90,832,141,24,24,614,443,171,1.2144025120828879,4.2824414667322666,34.666666666666664,16.5,5.875,3.0,0.13630952380952382,-0.642514136811213,0.2303682247065935,-0.5696909527317939,9,1,24,4,0,0,0,21,5,150,130,45,65
